Plate,Well,Row,Column,Drug,Conc,Junk,siRNA
1,A01,A,01,si1,,si1,si1
1,A02,A,02,,si1,si1,si1
1,A03,A,03,si2,,si2,si2
1,A04,A,04,,si2,si2,si2
1,A05,A,05,si3,,si3,si3
1,A06,A,06,,si3,si3,si3
1,A07,A,07,si4,,si4,si4
1,A08,A,08,,si4,si4,si4
1,A09,A,09,si5,,si5,si5
1,A10,A,10,,si5,si5,si5
1,A11,A,11,si6,,si6,si6
1,A12,A,12,,si6,si6,si6
1,A13,A,13,si7,,si7,si7
1,A14,A,14,,si7,si7,si7
1,A15,A,15,si8,,si8,si8
1,A16,A,16,,si8,si8,si8
1,A17,A,17,si9,,si9,si9
1,A18,A,18,,si9,si9,si9
1,A19,A,19,si10,,si10,si10
1,A20,A,20,,si10,si10,si10
1,A21,A,21,si11,,si11,si11
1,A22,A,22,,si11,si11,si11
1,A23,A,23,si12,,si12,si12
1,A24,A,24,,si12,si12,si12
1,B01,B,01,si1,,si1,si1
1,B02,B,02,,si1,si1,si1
1,B03,B,03,si2,,si2,si2
1,B04,B,04,,si2,si2,si2
1,B05,B,05,si3,,si3,si3
1,B06,B,06,,si3,si3,si3
1,B07,B,07,si4,,si4,si4
1,B08,B,08,,si4,si4,si4
1,B09,B,09,si5,,si5,si5
1,B10,B,10,,si5,si5,si5
1,B11,B,11,si6,,si6,si6
1,B12,B,12,,si6,si6,si6
1,B13,B,13,si7,,si7,si7
1,B14,B,14,,si7,si7,si7
1,B15,B,15,si8,,si8,si8
1,B16,B,16,,si8,si8,si8
1,B17,B,17,si9,,si9,si9
1,B18,B,18,,si9,si9,si9
1,B19,B,19,si10,,si10,si10
1,B20,B,20,,si10,si10,si10
1,B21,B,21,si11,,si11,si11
1,B22,B,22,,si11,si11,si11
1,B23,B,23,si12,,si12,si12
1,B24,B,24,,si12,si12,si12
1,C01,C,01,si1,,si1,si1
1,C02,C,02,,si1,si1,si1
1,C03,C,03,si2,,si2,si2
1,C04,C,04,,si2,si2,si2
1,C05,C,05,si3,,si3,si3
1,C06,C,06,,si3,si3,si3
1,C07,C,07,si4,,si4,si4
1,C08,C,08,,si4,si4,si4
1,C09,C,09,si5,,si5,si5
