Plate,Row,Column,drug,conc
Plate1,A,01,si1,5
Plate1,A,02,si2,5
Plate1,A,03,si3,5
Plate1,A,04,si4,5
Plate1,A,05,si5,5
Plate1,A,06,si6,5
Plate1,A,07,si7,5
Plate1,A,08,si8,5
Plate1,A,09,si9,5
Plate1,A,10,si10,5
Plate1,A,11,si11,5
Plate1,A,12,si12,5
Plate1,B,01,si1,5
Plate1,B,02,si2,5
Plate1,B,03,si3,5
Plate1,B,04,si4,5
Plate1,B,05,si5,5
Plate1,B,06,si6,5
Plate1,B,07,si7,5
Plate1,B,08,si8,5
Plate1,B,09,si9,5
Plate1,B,10,si10,5
Plate1,B,11,si11,5
Plate1,B,12,si12,5
Plate1,C,01,si1,5
Plate1,C,02,si2,5
Plate1,C,03,si3,5
Plate1,C,04,si4,5
Plate1,C,05,si5,5
Plate1,C,06,si6,5
Plate1,C,07,si7,5
Plate1,C,08,si8,5
Plate1,C,09,si9,5
Plate1,C,10,si10,5
Plate1,C,11,si11,5
Plate1,C,12,si12,5
Plate1,D,01,si1,5
Plate1,D,02,si2,5
Plate1,D,03,si3,5
Plate1,D,04,si4,5
Plate1,D,05,si5,5
Plate1,D,06,si6,5
Plate1,D,07,si7,5
Plate1,D,08,si8,5
Plate1,D,09,si9,5
Plate1,D,10,si10,5
Plate1,D,11,si11,5
Plate1,D,12,si12,5
Plate1,E,01,si1,5
Plate1,E,02,si2,5
Plate1,E,03,si3,5
Plate1,E,04,si4,5
Plate1,E,05,si5,5
Plate1,E,06,si6,5
Plate1,E,07,si7,5
Plate1,E,08,si8,5
Plate1,E,09,si9,5
Plate1,E,10,si10,5
Plate1,E,11,si11,5
Plate1,E,12,si12,5
Plate1,F,01,si1,5
Plate1,F,02,si2,5
Plate1,F,03,si3,5
Plate1,F,04,si4,5
Plate1,F,05,si5,5
Plate1,F,06,si6,5
Plate1,F,07,si7,5
Plate1,F,08,si8,5
Plate1,F,09,si9,5
Plate1,F,10,si10,5
Plate1,F,11,si11,5
Plate1,F,12,si12,5
Plate1,G,01,si1,5
Plate1,G,02,si2,5
Plate1,G,03,si3,5
Plate1,G,04,si4,5
Plate1,G,05,si5,5
Plate1,G,06,si6,5
Plate1,G,07,si7,5
Plate1,G,08,si8,5
Plate1,G,09,si9,5
Plate1,G,10,si10,5
Plate1,G,11,si11,5
Plate1,G,12,si12,5
Plate1,H,01,si1,5
Plate1,H,02,si2,5
Plate1,H,03,si3,5
Plate1,H,04,si4,5
Plate1,H,05,si5,5
Plate1,H,06,si6,5
Plate1,H,07,si7,5
Plate1,H,08,si8,5
Plate1,H,09,si9,5
Plate1,H,10,si10,5
Plate1,H,11,si11,5
Plate1,H,12,si12,5
